name,dates,lang,exam_date,return_date,link,days_inbetween,reporter,semester,comment,Column
Microfinance and Impact Investing (L),12/18/2019 13:45 → 02/03/2020 16:39,en,"Dec 18, 2019 1:45 PM","Feb 3, 2020 4:39 PM",https://bestande.ch/uzh/50407554/chat,47,MensaSpaghetti9,20192,,"Feb 3, 2020 5:37 PM"
Microfinance and Impact Investing (L),01/16/2019 12:00 → 02/06/2019 12:00,en,"Jan 16, 2019 12:00 PM","Feb 6, 2019 12:00 PM",https://bestande.ch/uzh/50407554/HS18/chat,21,Jes,20192,,"Feb 3, 2020 5:38 PM"
"Network Science for Business, Economics, Informatics and Social Sciences. (L)",12/16/2019 18:00 → 02/03/2020 16:42,en,"Dec 16, 2019 6:00 PM","Feb 3, 2020 4:42 PM",https://bestande.ch/uzh/50979528/chat,48,icka,20192,,"Feb 3, 2020 5:40 PM"
Digitalization and Sustainable Development (V),11/25/2019 18:00 → 02/03/2020 16:52,en,"Nov 25, 2019 6:00 PM","Feb 3, 2020 4:52 PM",https://bestande.ch/uzh/50483330/chat,69,awesomebanana4,20192,,"Feb 3, 2020 5:41 PM"
Technology Entrepreneurship,12/10/2019 19:00 → 02/05/2020 12:00,en,"Dec 10, 2019 7:00 PM","Feb 5, 2020 12:00 PM",https://bestande.ch/eth/363-0790-00L,56,Polyinfluencer20,20192,,"Feb 3, 2020 5:43 PM"
MAT 182 Analysis for Natural Sciences,01/17/2020 16:00 → 02/04/2020 15:58,de,"Jan 17, 2020 4:00 PM","Feb 4, 2020 3:58 PM",https://bestande.ch/uzh/mat182/chat,17,jojo,20192,,"Feb 5, 2020 7:12 PM"
Applied Empirical Methods for Business Administration (L+E),01/14/2020 18:00 → 02/04/2020 19:37,en,"Jan 14, 2020 6:00 PM","Feb 4, 2020 7:37 PM",https://bestande.ch/uzh/50639518,21,züristar0,20192,,"Feb 5, 2020 7:18 PM"
Fortgeschrittene Mikroökonomik für die BWL,01/17/2020 12:00 → 02/05/2020 8:31,de,"Jan 17, 2020 12:00 PM","Feb 5, 2020 8:31 AM",https://bestande.ch/uzh/50370132/chat,18,polyKebab8,20192,,"Feb 5, 2020 7:22 PM"
Methods of Empirical Macroeconomics (L+E),01/17/2020 10:00 → 02/05/2020 9:07,en,"Jan 17, 2020 10:00 AM","Feb 5, 2020 9:07 AM",https://bestande.ch/uzh/50528882/chat,18,AsvzAktivist10,20192,,"Feb 5, 2020 7:25 PM"
Advanced Business Valuation (L),01/08/2020 10:00 → 02/05/2020 14:02,en,"Jan 8, 2020 10:00 AM","Feb 5, 2020 2:02 PM",https://bestande.ch/uzh/50825897/chat,28,tyou,20192,,"Feb 5, 2020 7:26 PM"
BIO 112 Cell Biology,01/22/2020 16:00 → 02/05/2020 15:11,de,"Jan 22, 2020 4:00 PM","Feb 5, 2020 3:11 PM",https://bestande.ch/uzh/50031680/stats,13,commandeur4,20192,,"Feb 5, 2020 7:27 PM"
BIO 308 Introduction to Limnology (Inland water ecosystems),12/16/2019 12:00 → 02/05/2020 15:37,en,"Dec 16, 2019 12:00 PM","Feb 5, 2020 3:37 PM",https://bestande.ch/uzh/50034565/chat,51,merkur12,20192,,"Feb 5, 2020 7:30 PM"
BIO 115 Human evolution,01/24/2020 14:00 → 02/05/2020 16:12,de,"Jan 24, 2020 2:00 PM","Feb 5, 2020 4:12 PM",https://bestande.ch/uzh/50952115/chat,12,alina0908,20192,,"Feb 5, 2020 7:31 PM"
BIO 114 Evolution and Biodiversity I,01/14/2020 11:45 → 02/05/2020 16:43,de,"Jan 14, 2020 11:45 AM","Feb 5, 2020 4:43 PM",https://bestande.ch/uzh/50742527/chat,22,lehaha,20192,,"Feb 5, 2020 7:33 PM"
BIO 133 Anthropology,01/16/2020 16:45 → 02/05/2020 19:26,de,"Jan 16, 2020 4:45 PM","Feb 5, 2020 7:26 PM",https://bestande.ch/uzh/50033815/chat,20,mrsf1,20192,,"Feb 5, 2020 7:35 PM"
Arabic I A1.1,12/19/2019 14:45 → 02/05/2020 19:56,en,"Dec 19, 2019 2:45 PM","Feb 5, 2020 7:56 PM",https://bestande.ch/uzh/50046984/chat,48,bacteriophage,20192,,"Feb 5, 2020 7:36 PM"
Governance (L),12/20/2019 13:45 → 02/07/2020 8:55,de,"Dec 20, 2019 1:45 PM","Feb 7, 2020 8:55 AM",https://bestande.ch/uzh/50045662,48,bank93,20192,,"Feb 5, 2020 8:06 PM"
BIO 332 Cell cycle and cell proliferation,01/28/2019 12:00 → 01/29/2019 12:00,en,"Jan 28, 2019 12:00 PM","Jan 29, 2019 12:00 PM",https://bestande.ch/uzh/50372413/chat,1,ian,20182,,"Feb 7, 2020 9:46 AM"
BIO 332 Cell cycle and cell proliferation,01/27/2020 12:00 → 01/31/2020 12:00,en,"Jan 27, 2020 12:00 PM","Jan 31, 2020 12:00 PM",https://bestande.ch/uzh/50372413/chat,4,ian,20192,,"Feb 7, 2020 9:48 AM"
The Economics of Sports: Governance and Markets (L),01/13/2020 18:00 → 02/07/2020 10:01,en,"Jan 13, 2020 6:00 PM","Feb 7, 2020 10:01 AM",https://bestande.ch/uzh/50620657/timetable,24,jii,20192,,"Feb 7, 2020 9:51 AM"
HRM and Organizational Behavior (L+E),01/14/2020 12:00 → 02/07/2020 10:07,de,"Jan 14, 2020 12:00 PM","Feb 7, 2020 10:07 AM",https://bestande.ch/uzh/50922405,23,librarybanana18,20192,,"Feb 7, 2020 10:02 AM"
Lineare Optimierung (V) (Linear Programming),01/14/2020 18:00 → 02/07/2020 11:06,de,"Jan 14, 2020 6:00 PM","Feb 7, 2020 11:06 AM",https://bestande.ch/uzh/50332398,23,gebarzt,20192,,"Feb 7, 2020 10:12 AM"
CHE 175 Fundamentals of Chemistry for Students of Biomedicine,01/13/2020 17:00 → 02/07/2020 12:40,de,"Jan 13, 2020 5:00 PM","Feb 7, 2020 12:40 PM",https://bestande.ch/uzh/50938710,24,Pruefungsprofessor17,20192,,"Feb 9, 2020 5:35 PM"
BIO 134 Programming in Biology,01/23/2020 11:30 → 02/07/2020 13:03,de,"Jan 23, 2020 11:30 AM","Feb 7, 2020 1:03 PM",https://bestande.ch/uzh/50795623/chat,15,biomed,20192,,"Feb 9, 2020 5:38 PM"
"CHE 101 Fundamentals of Chemistry, Part 1",01/27/2020 12:00 → 02/07/2020 15:19,de,"Jan 27, 2020 12:00 PM","Feb 7, 2020 3:19 PM",https://bestande.ch/uzh/50740659/chat,11,commandeur4,20192,,"Feb 9, 2020 5:40 PM"
BIO 111 Molecular and Classical Genetics,01/20/2020 12:20 → 02/07/2020 20:34,de,"Jan 20, 2020 12:20 PM","Feb 7, 2020 8:34 PM",https://bestande.ch/uzh/50742524/chat,18,commandeur4,20192,,"Feb 9, 2020 5:41 PM"
